,entities,labels
0,ME,10057244
1,Myalgic encephalomyelitis,10057244
2,Post viral debility,10057244
3,Post viral fatigue,10057244
4,Post viral fatigue syndrome,10057244
5,Post-viral fatigue syndrome,10057244
6,Post-viral fatigue syndrome NOS,10057244
7,Royal Free disease,10057244
8,MS,10028245
9,Disseminated sclerosis,10028245
10,MS aggravated,10028245
11,MS-like syndrome,10028245
12,Multiple sclerosis,10028245
13,Multiple sclerosis aggravated,10028245
14,Multiple sclerosis brain lesion,10028245
15,Multiple sclerosis lesion,10028245
16,Multiple sclerosis like syndrome,10028245
17,Multiple sclerosis plaque,10028245
18,Multiple sclerosis spinal cord lesion,10028245
19,Multiple sclerosis-like syndrome,10028245
20,Progression of multiple sclerosis,10028245
21,Sclerosis multiple,10028245
22,Syndrome MS-like,10028245
23,OA,10031161
24,Ankle osteoarthritis,10031161
25,Arthrosis,10031161
26,Arthrosis deformans,10031161
27,Arthrosis multiple,10031161
28,Arthrosis NOS,10031161
29,Coxarthrosis,10031161
30,Cystic joint degeneration,10031161
31,Degenerative arthritis peripheral joint,10031161
32,Degenerative joint disease,10031161
33,Degenerative rheumatism,10031161
34,DIP OA,10031161
35,Dysarthrosis,10031161
36,Elbow osteoarthritis,10031161
37,Erosive osteoarthritis,10031161
38,Finger osteoarthritis,10031161
39,Foot osteoarthritis,10031161
40,Generalised OA,10031161
41,Generalised osteoarthritis,10031161
42,Generalized osteoarthritis,10031161
43,Gonarthrosis,10031161
44,Hand osteoarthritis,10031161
45,Hip arthrosis,10031161
46,Hips osteoarthritis,10031161
47,Kaschin-Beck disease,10031161
48,Kaschin-Beck disease involving ankle and foot,10031161
49,Kaschin-Beck disease involving forearm,10031161
50,Kaschin-Beck disease involving hand,10031161
51,Kaschin-Beck disease involving lower leg,10031161
52,Kaschin-Beck disease involving multiple sites,10031161
53,Kaschin-Beck disease involving other specified sites,10031161
54,Kaschin-Beck disease involving pelvic region and thigh,10031161
55,Kaschin-Beck disease involving shoulder region,10031161
56,Kaschin-Beck disease involving upper arm,10031161
57,"Kaschin-Beck disease, site unspecified",10031161
58,Knee osteoarthritis,10031161
59,Localised osteoarthritis,10031161
60,Localized osteoarthritis,10031161
61,O/A,10031161
62,OA hip,10031161
63,OA hips,10031161
64,OA knee,10031161
65,OA toes,10031161
66,Omarthrosis,10031161
67,Osteo arthritis knees,10031161
68,Osteo arthritis shoulders,10031161
69,Osteoarthritis,10031161
70,Osteoarthritis aggravated,10031161
71,Osteoarthritis deformans,10031161
